iter	Passed	Remaining
826	47494	38650
827	47553	38594
828	47610	38536
829	47667	38478
830	47723	38419
831	47782	38363
832	47836	38303
833	47895	38247
834	47952	38189
835	48008	38131
836	48062	38071
837	48119	38013
838	48176	37955
839	48233	37897
840	48288	37838
841	48344	37779
842	48399	37720
843	48454	37661
844	48511	37603
845	48566	37544
846	48622	37485
847	48677	37426
848	48734	37369
849	48788	37309
850	48845	37251
851	48902	37193
852	48960	37136
853	49015	37077
854	49078	37024
855	49135	36966
856	49189	36906
857	49246	36848
858	49299	36788
859	49360	36733
860	49419	36677
861	49478	36621
862	49541	36567
863	49604	36514
864	49659	36455
865	49715	36396
866	49770	36337
867	49826	36279
868	49883	36221
869	49936	36161
870	49995	36104
871	50049	36044
872	50103	35984
873	50157	35925
874	50214	35867
875	50271	35809
876	50327	35751
877	50385	35694
878	50442	35636
879	50496	35577
880	50552	35518
881	50609	35461
882	50663	35401
883	50717	35341
884	50773	35283
885	50831	35226
886	50903	35178
887	50960	35121
888	51016	35063
889	51071	35004
890	51128	34946
891	51184	34887
892	51239	34829
893	51292	34769
894	51348	34710
895	51404	34652
896	51463	34595
897	51519	34537
898	51575	34479
899	51631	34420
900	51686	34362
901	51743	34304
902	51799	34246
903	51859	34190
904	51914	34131
905	51975	34076
906	52030	34017
907	52087	33960
908	52142	33901
909	52196	33841
910	52253	33784
911	52309	33726
912	52367	33669
913	52423	33610
914	52481	33553
915	52536	33495
916	52592	33436
917	52647	33378
918	52702	33318
919	52757	33260
920	52816	33203
921	52885	33153
922	52944	33097
923	53002	33040
924	53069	32989
925	53140	32940
926	53206	32888
927	53260	32828
928	53317	32771
929	53370	32710
930	53425	32652
931	53479	32592
932	53538	32536
933	53592	32477
934	53653	32421
935	53707	32362
936	53763	32304
937	53819	32245
938	53889	32195
939	53947	32138
940	54002	32080
941	54059	32022
942	54112	31962
943	54182	31912
944	54238	31854
945	54293	31795
946	54348	31736
947	54404	31678
948	54458	31619
949	54516	31562
950	54573	31504
951	54628	31445
952	54685	31388
953	54741	31330
954	54798	31272
955	54855	31214
956	54911	31156
957	54969	31099
958	55026	31042
959	55083	30984
960	55139	30926
961	55195	30867
962	55253	30810
963	55307	30751
964	55364	30694
965	55420	30636
966	55477	30578
967	55533	30520
968	55587	30461
969	55643	30403
970	55698	30344
971	55753	30285
972	55809	30227
973	55868	30171
974	55924	30112
975	55980	30054
976	56039	29998
977	56093	29939
978	56149	29881
979	56205	29823
980	56260	29764
981	56313	29705
982	56370	29647
983	56428	29590
984	56483	29532
985	56542	29475
986	56598	29417
987	56652	29358
988	56710	29301
989	56766	29243
990	56824	29186
